timestamp,rak,produk,durasi_detik
2025-05-15 14:41:56,Rak A - Minuman,Minuman,8.01
2025-05-15 14:41:56,Rak A - Buah,Buah,8.01
2025-05-15 14:42:23,Rak B - Minuman,Minuman,5.69
2025-05-15 14:42:26,Rak B - Sereal,Sereal,18.46
2025-05-15 14:42:38,Rak A - Snack,Snack,11.22
2025-05-15 14:42:38,Rak A - Minuman,Minuman,11.22
2025-05-15 14:42:38,Rak A - Buah,Buah,11.22
2025-05-15 14:42:38,Rak B - Sereal,Sereal,0.22
2025-05-15 14:42:39,Rak B - Sereal,Sereal,0.25
2025-05-15 18:54:27,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:27,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:28,Rak A - Snack,Snack,0.00
2025-05-15 18:54:28,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak A - Buah,Buah,0.00
2025-05-15 18:54:28,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:28,Rak A - Snack,Snack,0.00
2025-05-15 18:54:28,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak A - Buah,Buah,0.00
2025-05-15 18:54:28,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:28,Rak A - Snack,Snack,0.00
2025-05-15 18:54:28,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak A - Buah,Buah,0.00
2025-05-15 18:54:28,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:28,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:30,Rak A - Snack,Snack,0.17
2025-05-15 18:54:30,Rak A - Minuman,Minuman,0.17
2025-05-15 18:54:30,Rak A - Buah,Buah,0.17
2025-05-15 18:54:30,Rak B - Minuman,Minuman,0.17
2025-05-15 18:54:30,Rak B - Sereal,Sereal,0.17
2025-05-15 18:54:30,Rak A - Snack,Snack,0.00
2025-05-15 18:54:30,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:30,Rak A - Buah,Buah,0.00
2025-05-15 18:54:30,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:30,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:31,Rak A - Snack,Snack,0.17
2025-05-15 18:54:31,Rak A - Minuman,Minuman,0.17
2025-05-15 18:54:31,Rak A - Buah,Buah,0.17
2025-05-15 18:54:31,Rak B - Minuman,Minuman,0.17
2025-05-15 18:54:31,Rak B - Sereal,Sereal,0.17
2025-05-15 18:54:32,Rak A - Snack,Snack,0.00
2025-05-15 18:54:32,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:32,Rak A - Buah,Buah,0.00
2025-05-15 18:54:32,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:32,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:32,Rak A - Snack,Snack,0.00
2025-05-15 18:54:32,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:32,Rak A - Buah,Buah,0.00
2025-05-15 18:54:32,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:32,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:32,Rak A - Snack,Snack,0.00
2025-05-15 18:54:32,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:32,Rak A - Buah,Buah,0.00
2025-05-15 18:54:32,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:33,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:33,Rak A - Snack,Snack,0.15
2025-05-15 18:54:33,Rak A - Minuman,Minuman,0.15
2025-05-15 18:54:33,Rak A - Buah,Buah,0.15
2025-05-15 18:54:33,Rak B - Minuman,Minuman,0.15
2025-05-15 18:54:33,Rak B - Sereal,Sereal,0.15
2025-05-15 18:54:34,Rak A - Snack,Snack,0.00
2025-05-15 18:54:34,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:34,Rak A - Buah,Buah,0.00
2025-05-15 18:54:34,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:34,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:34,Rak A - Snack,Snack,0.00
2025-05-15 18:54:34,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:34,Rak A - Buah,Buah,0.00
2025-05-15 18:54:34,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:34,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:35,Rak A - Snack,Snack,0.00
2025-05-15 18:54:35,Rak A - Minuman,Minuman,0.00
2025-05-15 18:54:35,Rak A - Buah,Buah,0.00
2025-05-15 18:54:35,Rak B - Minuman,Minuman,0.00
2025-05-15 18:54:35,Rak B - Sereal,Sereal,0.00
2025-05-15 18:54:37,Rak A - Snack,Snack,0.63
2025-05-15 18:54:37,Rak A - Minuman,Minuman,0.63
